Seller,offerType,Price,vehicleType,Registration_Year,gearbox,HorsePower,kilometer,fuelType,NotRepairedDamaged,RiskLevel
Private,Customer Offer,10000,Coupe,2005,Automatic,272,150000,Gasoline,No,Medium
Private,Customer Offer,690,Limousine,1964,Manual,26,80000,Unknown,Unknown,High
Private,Customer Offer,1500,Station Wagon,1997,Manual,118,150000,Unknown,No,High
Private,Customer Offer,23000,SUV,2011,Automatic,197,80000,Diesel,No,Low
Private,Customer Offer,1250,Compact Car,2004,Manual,65,90000,Gasoline,No,Medium
Private,Customer Offer,600,Compact Car,1996,Manual,58,150000,Unknown,Unknown,High
Private,Customer Offer,6950,Station Wagon,2008,Automatic,105,150000,Diesel,No,Medium
Private,Customer Offer,6200,SUV,2005,Manual,140,150000,Diesel,No,Medium
Private,Customer Offer,2700,Bus,2002,Manual,109,150000,Diesel,No,Medium
Private,Customer Offer,900,Limousine,1995,Automatic,122,150000,LPG,Yes,High
Private,Customer Offer,8000,Limousine,2009,Manual,116,40000,Gasoline,No,Medium
Private,Customer Offer,3100,Unknown,2005,Manual,116,150000,Gasoline,Unknown,Medium
Private,Customer Offer,8000,SUV,2004,Automatic,163,150000,Diesel,No,Medium
Private,Customer Offer,9500,SUV,2005,Automatic,313,150000,Diesel,No,Medium
Private,Customer Offer,800,Compact Car,1999,Manual,86,150000,Gasoline,No,High
Private,Customer Offer,16500,Limousine,2011,Manual,170,100000,Diesel,No,Low
Private,Customer Offer,7500,Unknown,2017,Manual,102,150000,Unknown,Unknown,Low
Private,Customer Offer,11900,Compact Car,2014,Manual,99,20000,Gasoline,No,Low
Private,Customer Offer,500,Limousine,1998,Manual,75,150000,Gasoline,No,High
Private,Customer Offer,1499,Compact Car,1997,Manual,75,150000,Gasoline,No,High
Private,Customer Offer,7100,Limousine,2002,Automatic,231,150000,Gasoline,Unknown,Medium
Private,Customer Offer,2800,Station Wagon,2003,Manual,107,150000,Diesel,No,Medium
Private,Customer Offer,6600,Bus,2006,Automatic,150,150000,Diesel,No,Medium
Private,Customer Offer,37800,Convertible,2012,Automatic,320,100000,Gasoline,No,Low
Private,Customer Offer,4850,Station Wagon,2008,Manual,125,150000,Diesel,No,Medium
Private,Customer Offer,550,Compact Car,1996,Manual,50,150000,Gasoline,No,High
Private,Customer Offer,999,Compact Car,1996,Automatic,75,70000,Gasoline,Unknown,High
Private,Customer Offer,500,Limousine,1986,Manual,129,5000,Gasoline,No,High
Private,Customer Offer,1200,Compact Car,1998,Manual,75,150000,Gasoline,No,High
Private,Customer Offer,4000,Bus,2005,Manual,120,125000,Diesel,No,Medium
Private,Customer Offer,3900,Unknown,2008,Manual,120,150000,Unknown,No,Medium
Private,Customer Offer,11800,Unknown,2016,Automatic,102,80000,Gasoline,Unknown,Low
Private,Customer Offer,7990,Unknown,2017,Manual,140,125000,Diesel,No,Low
Private,Customer Offer,5000,Limousine,2004,Manual,150,150000,Diesel,No,Medium
Private,Customer Offer,1999,Limousine,1998,Manual,118,150000,Diesel,No,High
Private,Customer Offer,800,Compact Car,2001,Automatic,70,150000,LPG,No,Medium
Private,Customer Offer,14500,Limousine,2011,Automatic,116,30000,Gasoline,No,Low
Private,Customer Offer,1450,Station Wagon,2000,Manual,116,150000,Gasoline,No,High
Private,Customer Offer,999,Limousine,1999,Manual,75,150000,Gasoline,No,High
Private,Customer Offer,1000,Coupe,1998,Manual,140,150000,Gasoline,No,High
Private,Customer Offer,3199,Convertible,2002,Automatic,109,150000,Gasoline,No,Medium
Private,Customer Offer,1699,Limousine,2000,Manual,125,150000,Gasoline,No,High
Private,Customer Offer,12490,Station Wagon,2011,Manual,140,125000,Diesel,No,Low
Private,Customer Offer,2300,Bus,2002,Manual,125,150000,Gasoline,Unknown,Medium
Private,Customer Offer,4450,Compact Car,2008,Manual,69,150000,LPG,No,Medium
Private,Customer Offer,1100,Limousine,2001,Manual,109,150000,Gasoline,Yes,Medium
Private,Customer Offer,1000,Limousine,1997,Manual,113,125000,Gasoline,No,High
Private,Customer Offer,2150,Station Wagon,2003,Manual,211,150000,Diesel,Yes,Medium
Private,Customer Offer,700,Compact Car,1993,Manual,55,150000,Gasoline,Unknown,High
Private,Customer Offer,700,Unknown,1990,Manual,54,150000,Gasoline,Unknown,High
Private,Customer Offer,10499,Limousine,2010,Automatic,105,100000,Diesel,No,Medium
Private,Customer Offer,3300,Compact Car,2006,Automatic,61,125000,Gasoline,No,Medium
Private,Customer Offer,1300,Unknown,2018,Manual,60,150000,Gasoline,Unknown,Low
Private,Customer Offer,2220,Limousine,2005,Manual,80,150000,Diesel,No,Medium
Private,Customer Offer,3000,Station Wagon,1999,Manual,193,150000,Gasoline,Unknown,High
Private,Customer Offer,2300,Limousine,2002,Manual,64,150000,Gasoline,No,Medium
Private,Customer Offer,16400,Convertible,2008,Manual,170,50000,Gasoline,No,Medium
Private,Customer Offer,2900,Limousine,2000,Automatic,238,150000,Gasoline,Unknown,High
Private,Customer Offer,3200,Limousine,2000,Manual,170,150000,Diesel,Unknown,High
Private,Customer Offer,1250,Limousine,1990,Manual,108,150000,Gasoline,No,High
Private,Customer Offer,6850,Station Wagon,2003,Manual,131,150000,Diesel,No,Medium
Private,Customer Offer,19900,Bus,2013,Manual,125,70000,Diesel,No,Low
Private,Customer Offer,9000,Unknown,2017,Manual,200,125000,Gasoline,Unknown,Low
Private,Customer Offer,600,Compact Car,1989,Manual,34,50000,Gasoline,No,High
Private,Customer Offer,10500,SUV,2006,Manual,152,70000,Gasoline,Unknown,Medium
Private,Customer Offer,2100,Limousine,2002,Automatic,207,150000,Gasoline,No,Medium
Private,Customer Offer,6650,Coupe,2004,Manual,143,150000,Gasoline,No,Medium
Private,Customer Offer,4350,Station Wagon,2000,Manual,150,150000,Gasoline,No,High
Private,Customer Offer,3900,Compact Car,2007,Automatic,71,90000,Gasoline,No,Medium
Private,Customer Offer,7500,Compact Car,2009,Automatic,103,60000,Gasoline,No,Medium
Private,Customer Offer,4400,Coupe,2003,Automatic,102,150000,Gasoline,No,Medium
Private,Customer Offer,12990,Bus,2003,Manual,131,150000,Diesel,No,Medium
Private,Customer Offer,19000,Bus,2014,Manual,150,20000,Gasoline,No,Low
Private,Customer Offer,2000,Compact Car,2000,Automatic,54,150000,Unknown,Unknown,High
Private,Customer Offer,6500,Limousine,2006,Manual,105,150000,Diesel,No,Medium
Private,Customer Offer,1400,Compact Car,2003,Automatic,80,150000,Gasoline,No,Medium
Private,Customer Offer,1990,Station Wagon,1998,Manual,184,150000,Diesel,No,High
Private,Customer Offer,1450,Compact Car,2002,Manual,60,150000,Gasoline,No,Medium
Private,Customer Offer,3500,Compact Car,2009,Unknown,75,30000,Unknown,Unknown,Medium
Private,Customer Offer,3750,Convertible,2006,Manual,110,150000,Diesel,Unknown,Medium
Private,Customer Offer,500,Unknown,1995,Manual,90,50000,Gasoline,Yes,High
Private,Customer Offer,600,Limousine,1997,Manual,102,150000,Gasoline,No,High
Private,Customer Offer,799,Limousine,1999,Manual,60,150000,Gasoline,No,High
Private,Customer Offer,5399,Compact Car,2010,Automatic,54,125000,Diesel,No,Medium
Private,Customer Offer,590,Station Wagon,1998,Manual,90,150000,Diesel,Yes,High
Private,Customer Offer,4099,Limousine,1999,Manual,155,150000,Gasoline,No,High
Private,Customer Offer,23900,Station Wagon,2011,Manual,170,150000,Diesel,No,Low
Private,Customer Offer,2000,SUV,2002,Manual,83,150000,Gasoline,No,Medium
Private,Customer Offer,9499,Limousine,2011,Manual,105,150000,Diesel,No,Low
Private,Customer Offer,7600,Limousine,2009,Manual,177,150000,Diesel,No,Medium
Private,Customer Offer,2250,Station Wagon,2001,Automatic,136,150000,Diesel,No,Medium
Private,Customer Offer,700,Limousine,2002,Manual,108,150000,Gasoline,Yes,Medium
Private,Customer Offer,9999,Unknown,2017,Manual,150,150000,Unknown,Unknown,Low
Private,Customer Offer,16800,Bus,2011,Manual,136,150000,Diesel,No,Low
Private,Customer Offer,1000,Compact Car,2000,Manual,75,150000,Unknown,No,High
Private,Customer Offer,1699,Station Wagon,1996,Manual,126,150000,LPG,No,High
Private,Customer Offer,3200,Compact Car,2007,Manual,101,150000,Gasoline,Yes,Medium
Private,Customer Offer,2200,Limousine,1996,Manual,150,150000,Gasoline,No,High
Private,Customer Offer,3600,Convertible,2003,Manual,163,150000,Gasoline,No,Medium
Private,Customer Offer,16500,Bus,2004,Manual,174,150000,Unknown,No,Medium
Private,Customer Offer,999,Station Wagon,1995,Manual,144,150000,Gasoline,No,High
Private,Customer Offer,4900,Compact Car,2007,Automatic,71,60000,Gasoline,No,Medium
Private,Customer Offer,5959,Compact Car,2007,Automatic,87,40000,Gasoline,No,Medium
Private,Customer Offer,4500,Limousine,2004,Automatic,110,150000,Gasoline,No,Medium
Private,Customer Offer,2350,Limousine,1995,Automatic,286,150000,Unknown,No,High
Private,Customer Offer,1200,Station Wagon,2001,Manual,116,150000,Diesel,Yes,Medium
Private,Customer Offer,27900,Limousine,1968,Unknown,163,150000,Unknown,No,High
Private,Customer Offer,12399,SUV,2010,Manual,163,60000,Gasoline,No,Medium
Private,Customer Offer,7800,Coupe,2002,Automatic,299,150000,Gasoline,No,Medium
Private,Customer Offer,8750,Limousine,2010,Manual,103,150000,Diesel,No,Medium
Private,Customer Offer,18200,Station Wagon,2012,Automatic,170,80000,Diesel,No,Low
Private,Customer Offer,6900,Convertible,2007,Manual,90,40000,Gasoline,No,Medium
Private,Customer Offer,9499,Convertible,2003,Manual,170,150000,Gasoline,No,Medium
Private,Customer Offer,2449,Coupe,1993,Manual,133,150000,Gasoline,No,High
Private,Customer Offer,1750,Compact Car,1999,Manual,90,150000,Diesel,No,High
Private,Customer Offer,1600,Limousine,2000,Manual,144,150000,LPG,No,High
Private,Customer Offer,650,Limousine,1995,Manual,75,150000,Gasoline,No,High
Private,Customer Offer,4690,Coupe,2000,Manual,224,150000,Gasoline,No,High
Private,Customer Offer,6000,Compact Car,2002,Manual,163,150000,Gasoline,No,Medium
Private,Customer Offer,9700,Limousine,2009,Manual,241,150000,Gasoline,No,Medium
Private,Customer Offer,2700,Convertible,2002,Manual,109,150000,Gasoline,No,Medium
Private,Customer Offer,1200,Limousine,1992,Automatic,90,150000,Gasoline,No,High
Private,Customer Offer,7950,Limousine,2011,Manual,125,70000,Gasoline,No,Low
Private,Customer Offer,3500,Limousine,2006,Manual,163,150000,Diesel,No,Medium
Private,Customer Offer,3000,Coupe,2003,Manual,114,125000,Gasoline,No,Medium
Private,Customer Offer,7700,Compact Car,2014,Manual,60,5000,Gasoline,No,Low
Private,Customer Offer,2200,Bus,2000,Manual,75,150000,Diesel,Unknown,High
Private,Customer Offer,999,Compact Car,2002,Manual,60,125000,Gasoline,No,Medium
Private,Customer Offer,12800,Limousine,2011,Automatic,184,125000,Diesel,No,Low
Private,Customer Offer,3290,Compact Car,2005,Manual,60,40000,Gasoline,No,Medium
Private,Customer Offer,5300,Compact Car,1971,Manual,44,5000,Gasoline,Unknown,High
Private,Customer Offer,5000,Station Wagon,2002,Manual,143,150000,Gasoline,No,Medium
Private,Customer Offer,1250,Compact Car,2003,Manual,58,125000,Gasoline,No,Medium
Private,Customer Offer,890,Limousine,1998,Manual,75,150000,Gasoline,No,High
Private,Customer Offer,1250,Compact Car,2000,Manual,60,150000,Gasoline,No,High
Private,Customer Offer,19990,Bus,1983,Manual,90,150000,Diesel,No,High
Private,Customer Offer,7490,Compact Car,2012,Manual,86,90000,Gasoline,No,Low
Private,Customer Offer,3350,Convertible,2005,Manual,90,125000,Gasoline,No,Medium
Private,Customer Offer,1800,Compact Car,1991,Automatic,70,40000,Gasoline,No,High
Private,Customer Offer,3500,Station Wagon,1996,Automatic,170,150000,Gasoline,No,High
Private,Customer Offer,500,Bus,1998,Unknown,75,5000,Diesel,Unknown,High
Private,Customer Offer,1300,Limousine,1997,Manual,150,150000,Gasoline,No,High
Private,Customer Offer,4500,Bus,2006,Manual,201,30000,Diesel,No,Medium
Private,Customer Offer,5770,Station Wagon,2008,Manual,86,150000,Diesel,Unknown,Medium
Private,Customer Offer,18950,Limousine,2004,Automatic,250,150000,LPG,No,Medium
Private,Customer Offer,8500,SUV,2006,Automatic,224,150000,Diesel,No,Medium
Private,Customer Offer,1679,Limousine,1999,Manual,75,150000,Gasoline,No,High
Private,Customer Offer,20789,Unknown,2017,Manual,143,50000,Diesel,Unknown,Low
Private,Customer Offer,5300,Station Wagon,2008,Manual,105,150000,Diesel,No,Medium
Private,Customer Offer,8590,Limousine,2007,Manual,170,125000,Diesel,No,Medium
Private,Customer Offer,3100,Compact Car,2003,Manual,90,5000,Gasoline,No,Medium
Private,Customer Offer,1200,Compact Car,1999,Manual,80,150000,Gasoline,Unknown,High
Private,Customer Offer,600,Limousine,1992,Automatic,75,125000,Unknown,Yes,High
Private,Customer Offer,1100,Unknown,2017,Manual,60,150000,Diesel,No,Low
Private,Customer Offer,1600,Unknown,2017,Manual,75,150000,Unknown,Unknown,Low
Private,Customer Offer,18800,Compact Car,2013,Manual,184,30000,Gasoline,No,Low
Private,Customer Offer,500,Limousine,1999,Manual,88,125000,Gasoline,No,High
Private,Customer Offer,2500,Station Wagon,2005,Manual,90,150000,Gasoline,Yes,Medium
Private,Customer Offer,21900,Convertible,2011,Manual,177,70000,Diesel,No,Low
Private,Customer Offer,1350,Unknown,2018,Manual,125,150000,Gasoline,No,Low
Private,Customer Offer,9900,Compact Car,2008,Manual,135,90000,Gasoline,No,Medium
Private,Customer Offer,18999,Convertible,2008,Manual,197,150000,Diesel,No,Medium
Private,Customer Offer,5000,Compact Car,2004,Manual,140,150000,Diesel,No,Medium
Private,Customer Offer,3899,Compact Car,2007,Automatic,71,70000,Gasoline,No,Medium
Private,Customer Offer,13990,Station Wagon,2012,Manual,105,50000,Gasoline,No,Low
Private,Customer Offer,31800,SUV,2012,Automatic,204,80000,Diesel,No,Low
Private,Customer Offer,5200,Limousine,2006,Manual,75,100000,Gasoline,No,Medium
Private,Customer Offer,1199,Unknown,2017,Manual,105,150000,Gasoline,Yes,Low
Private,Customer Offer,1750,Limousine,2000,Manual,101,150000,Gasoline,No,High
Private,Customer Offer,1290,Limousine,2003,Manual,113,150000,Gasoline,Yes,Medium
Private,Customer Offer,7050,Compact Car,2013,Manual,60,60000,Gasoline,No,Low
Private,Customer Offer,11200,Limousine,2010,Manual,122,90000,Gasoline,No,Medium
Private,Customer Offer,2500,Limousine,1993,Manual,150,150000,Gasoline,No,High
Private,Customer Offer,2800,Coupe,1998,Automatic,196,150000,Gasoline,No,High
Private,Customer Offer,18600,Convertible,2006,Automatic,266,80000,Gasoline,No,Medium
Private,Customer Offer,500,Compact Car,2000,Manual,53,125000,Gasoline,No,High
Private,Customer Offer,2990,Limousine,2000,Manual,90,150000,Diesel,No,High
Private,Customer Offer,800,Unknown,2017,Manual,55,150000,Gasoline,No,Low
Private,Customer Offer,10800,SUV,1996,Automatic,200,150000,Gasoline,No,High
Private,Customer Offer,18800,Limousine,2011,Manual,170,60000,Gasoline,No,Low
Private,Customer Offer,3850,Compact Car,2005,Manual,75,150000,Gasoline,No,Medium
Private,Customer Offer,6900,Other,2009,Manual,140,40000,Diesel,Yes,Medium
Private,Customer Offer,7500,Bus,2008,Automatic,150,150000,Diesel,Yes,Medium
Private,Customer Offer,3199,Compact Car,2005,Unknown,75,125000,Unknown,No,Medium
Private,Customer Offer,7600,Compact Car,2011,Manual,69,60000,Diesel,No,Low
Private,Customer Offer,2500,Station Wagon,1999,Automatic,150,150000,Gasoline,No,High
Private,Customer Offer,25500,Coupe,2013,Automatic,150,50000,Diesel,No,Low
Private,Customer Offer,900,Limousine,1995,Manual,115,125000,Gasoline,Yes,High
Private,Customer Offer,600,Station Wagon,1999,Manual,125,150000,Gasoline,Unknown,High
Private,Customer Offer,4444,Bus,2005,Manual,75,150000,Gasoline,No,Medium
Private,Customer Offer,3400,Compact Car,1999,Automatic,82,50000,Gasoline,Unknown,High
Private,Customer Offer,1990,Bus,2008,Manual,90,150000,Diesel,Yes,Medium
Private,Customer Offer,14444,Convertible,2007,Manual,264,70000,Gasoline,No,Medium
Private,Customer Offer,7999,Limousine,2009,Manual,122,125000,Gasoline,No,Medium
Private,Customer Offer,6900,Limousine,2004,Automatic,218,150000,Diesel,No,Medium
Private,Customer Offer,1250,Station Wagon,1999,Manual,116,150000,Gasoline,No,High
Private,Customer Offer,3350,Limousine,2005,Manual,105,125000,Gasoline,No,Medium
Private,Customer Offer,12500,Bus,2009,Manual,140,125000,Diesel,No,Medium
Private,Customer Offer,13900,Convertible,2009,Manual,120,90000,Gasoline,No,Medium
Private,Customer Offer,3900,Limousine,2007,Manual,115,125000,Gasoline,Yes,Medium
Private,Customer Offer,2900,Compact Car,2008,Manual,75,150000,Gasoline,No,Medium
Private,Customer Offer,6450,Station Wagon,1975,Manual,98,100000,Gasoline,Unknown,High
Private,Customer Offer,15900,Limousine,1982,Manual,143,100000,Gasoline,No,High
Private,Customer Offer,5700,Limousine,2006,Manual,150,150000,Gasoline,No,Medium
Private,Customer Offer,3500,SUV,2002,Manual,114,150000,Diesel,No,Medium
Private,Customer Offer,999,Limousine,1998,Manual,115,150000,Gasoline,No,High
Private,Customer Offer,7800,Limousine,2008,Manual,122,125000,Gasoline,No,Medium
Private,Customer Offer,3499,Bus,2001,Manual,116,150000,Diesel,No,Medium
Private,Customer Offer,6800,Limousine,2005,Manual,116,100000,Gasoline,No,Medium
Private,Customer Offer,4500,SUV,1999,Manual,128,125000,Gasoline,No,High
Private,Customer Offer,34000,SUV,2011,Automatic,245,60000,Diesel,No,Low
Private,Customer Offer,2500,Coupe,1993,Manual,140,150000,Gasoline,Unknown,High
Private,Customer Offer,11300,Coupe,2005,Automatic,224,150000,Diesel,No,Medium
Private,Customer Offer,10400,Limousine,2012,Manual,80,70000,Gasoline,No,Low
Private,Customer Offer,15000,Limousine,2002,Manual,500,150000,Gasoline,No,Medium
Private,Customer Offer,4000,Compact Car,2006,Manual,88,70000,Gasoline,No,Medium
Private,Customer Offer,1750,Limousine,1999,Manual,101,150000,Gasoline,No,High
Private,Customer Offer,7150,Station Wagon,2008,Manual,179,150000,Diesel,No,Medium
Private,Customer Offer,14500,Coupe,2006,Automatic,286,150000,Diesel,No,Medium
Private,Customer Offer,4600,Limousine,1991,Automatic,122,150000,Gasoline,No,High
Private,Customer Offer,11500,Convertible,2010,Manual,120,60000,Gasoline,No,Medium
Private,Customer Offer,3100,Station Wagon,2005,Manual,131,150000,Diesel,No,Medium
Private,Customer Offer,1350,Limousine,2000,Manual,75,150000,Gasoline,No,High
Private,Customer Offer,17450,Limousine,2009,Automatic,204,80000,Gasoline,No,Medium
Private,Customer Offer,5900,Limousine,1967,Manual,87,60000,Gasoline,No,High
Private,Customer Offer,3150,Compact Car,2005,Manual,109,150000,Diesel,No,Medium
Private,Customer Offer,5200,Limousine,2007,Manual,140,150000,Diesel,No,Medium
Private,Customer Offer,1749,Limousine,2001,Manual,50,150000,Gasoline,No,Medium
Private,Customer Offer,3400,Unknown,2017,Manual,77,125000,Gasoline,No,Low
Private,Customer Offer,1750,Station Wagon,2000,Automatic,184,150000,Diesel,No,High
Private,Customer Offer,4500,Station Wagon,2003,Manual,175,90000,Gasoline,No,Medium
Private,Customer Offer,990,Station Wagon,2001,Manual,141,150000,Gasoline,Unknown,Medium
Private,Customer Offer,4759,Station Wagon,2008,Manual,140,125000,Diesel,No,Medium
Private,Customer Offer,9800,Coupe,2004,Manual,280,125000,Gasoline,Unknown,Medium
Private,Customer Offer,2500,Compact Car,2005,Manual,80,150000,Gasoline,No,Medium
Private,Customer Offer,16999,Coupe,2009,Automatic,190,20000,Diesel,No,Medium
Private,Customer Offer,15200,Station Wagon,2011,Automatic,140,125000,Diesel,No,Low
Private,Customer Offer,5490,Limousine,2004,Automatic,122,150000,Diesel,No,Medium
Private,Customer Offer,12600,Station Wagon,2005,Manual,177,150000,Gasoline,No,Medium
Private,Customer Offer,11999,Station Wagon,2008,Automatic,232,150000,Diesel,No,Medium
Private,Customer Offer,9975,Station Wagon,2012,Manual,105,60000,Gasoline,No,Low
Private,Customer Offer,1900,Station Wagon,2005,Manual,90,150000,Diesel,No,Medium
Private,Customer Offer,1299,Compact Car,2001,Automatic,41,150000,Diesel,Unknown,Medium
Private,Customer Offer,7499,Station Wagon,2006,Manual,140,150000,Diesel,Unknown,Medium
Private,Customer Offer,8200,Convertible,2008,Manual,140,60000,Gasoline,No,Medium
Private,Customer Offer,675,Compact Car,2003,Manual,60,150000,Gasoline,Unknown,Medium
Private,Customer Offer,32900,SUV,2015,Automatic,184,5000,Gasoline,No,Low
Private,Customer Offer,2300,Limousine,2004,Manual,116,150000,Gasoline,No,Medium
Private,Customer Offer,4500,Limousine,1985,Manual,163,30000,Gasoline,Yes,High
Private,Customer Offer,4250,Compact Car,2010,Manual,64,100000,Unknown,No,Medium
Private,Customer Offer,4750,Limousine,2008,Manual,115,150000,LPG,Unknown,Medium
Private,Customer Offer,1700,Bus,1999,Manual,75,150000,Gasoline,No,High
Private,Customer Offer,11900,Convertible,2002,Manual,228,150000,Gasoline,No,Medium
Private,Customer Offer,800,SUV,1993,Manual,80,150000,Gasoline,Yes,High
Private,Customer Offer,1450,Compact Car,2005,Manual,60,150000,Gasoline,No,Medium
Private,Customer Offer,4850,Unknown,2018,Manual,140,150000,Diesel,No,Low
Private,Customer Offer,1150,Compact Car,2002,Manual,75,150000,Gasoline,Yes,Medium
Private,Customer Offer,11900,Convertible,2008,Manual,105,150000,Diesel,No,Medium
Private,Customer Offer,600,Compact Car,1991,Unknown,70,150000,Unknown,Yes,High
Private,Customer Offer,4850,Station Wagon,2007,Manual,135,100000,Gasoline,No,Medium
Private,Customer Offer,600,Compact Car,1995,Manual,60,150000,Gasoline,Unknown,High
Private,Customer Offer,4200,Limousine,2004,Manual,150,150000,Diesel,No,Medium
Private,Customer Offer,1700,Coupe,1998,Manual,116,150000,Gasoline,No,High
Private,Customer Offer,11499,Station Wagon,2009,Manual,179,125000,Gasoline,No,Medium
Private,Customer Offer,2600,Limousine,2000,Manual,184,150000,Diesel,No,High
Private,Customer Offer,9850,Limousine,2009,Manual,122,60000,Gasoline,No,Medium
Private,Customer Offer,8299,Compact Car,2013,Manual,120,70000,Gasoline,No,Low
Private,Customer Offer,80000,Convertible,1998,Manual,286,100000,Gasoline,No,High
Private,Customer Offer,4599,Compact Car,2012,Automatic,61,50000,Gasoline,No,Low
Private,Customer Offer,1933,Compact Car,2004,Manual,69,150000,Diesel,No,Medium
Private,Customer Offer,4650,Bus,2003,Manual,101,100000,Gasoline,No,Medium
Private,Customer Offer,28000,Station Wagon,2014,Automatic,184,30000,Diesel,No,Low
Private,Customer Offer,700,Compact Car,2000,Manual,65,150000,Gasoline,No,High
Private,Customer Offer,1750,Coupe,1988,Manual,73,100000,Gasoline,No,High
Private,Customer Offer,500,Station Wagon,2000,Manual,100,150000,Diesel,Unknown,High
Private,Customer Offer,2500,Limousine,2006,Manual,130,150000,Diesel,Yes,Medium
